jobtitle_norm,soc_candidates,match_type,match_score
2019 sip cohort leader,['51-1011.00'],fuzzy,100.0
211 family resource navigator,"['53-2011.00', '53-5021.01']",fuzzy,100.0
2d animator,['27-1014.00'],fuzzy,100.0
2nd grade teacher,"['25-1011.00', '25-1054.00', '25-1063.00', '25-1066.00', '25-1071.00', '25-1112.00', '25-1123.00', '25-1124.00', '25-1191.00', '25-1193.00', '25-1194.00', '25-1199.00', '25-2011.00', '25-2012.00', '25-2021.00', '25-2022.00', '25-2023.00', '25-2031.00', '25-2032.00', '25-2051.00', '25-2053.00', '25-2054.00', '25-3011.00', '25-3021.00', '25-9041.00', '39-9011.00']",fuzzy,100.0
2nd line support analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
8th grade english teacher,"['25-1123.00', '25-2022.00', '25-2031.00', '25-3011.00']",fuzzy,100.0
account administrator,"['41-3099.01', '43-3031.00', '43-4011.00', '43-9041.02']",exact,100.0
account executive,"['11-2011.00', '11-2031.00', '13-2052.00', '27-3031.00', '27-3043.04', '41-3011.00', '41-3021.00', '41-3031.01', '41-3031.02', '41-3099.01', '41-4011.00', '41-4011.07', '41-4012.00', '41-9031.00']",exact,100.0
account executive partner and reseller channel,"['11-2011.00', '11-2031.00', '13-2052.00', '27-3031.00', '27-3043.04', '41-3011.00', '41-3021.00', '41-3031.01', '41-3031.02', '41-3099.01', '41-4011.00', '41-4011.07', '41-4012.00', '41-9031.00']",fuzzy,100.0
account finance manager,"['11-2011.00', '11-2031.00', '11-3031.02', '11-3111.00', '13-1011.00', '13-2052.00', '41-3011.00', '41-3021.00', '41-3099.01', '41-4011.00', '41-4012.00', '41-9031.00', '43-4051.00', '43-5011.01']",fuzzy,100.0
account manager,"['11-2011.00', '11-2031.00', '11-3031.02', '11-3111.00', '13-1011.00', '13-2052.00', '41-3011.00', '41-3021.00', '41-3099.01', '41-4011.00', '41-4012.00', '41-9031.00', '43-4051.00', '43-5011.01']",exact,100.0
account manager at wolters kluwer health,"['11-2011.00', '11-2031.00', '11-3031.02', '11-3111.00', '13-1011.00', '13-2052.00', '41-3011.00', '41-3021.00', '41-3099.01', '41-4011.00', '41-4012.00', '41-9031.00', '43-4051.00', '43-5011.01']",fuzzy,100.0
account manager defense sales,"['11-2011.00', '11-2031.00', '11-3031.02', '11-3111.00', '13-1011.00', '13-2052.00', '41-3011.00', '41-3021.00', '41-3099.01', '41-4011.00', '41-4012.00', '41-9031.00', '43-4051.00', '43-5011.01']",fuzzy,100.0
account manager technical sales rep storage sme,"['11-2011.00', '11-2031.00', '11-3031.02', '11-3111.00', '13-1011.00', '13-2052.00', '41-3011.00', '41-3021.00', '41-3099.01', '41-4011.00', '41-4012.00', '41-9031.00', '43-4051.00', '43-5011.01']",fuzzy,100.0
account manger,"['11-2011.00', '11-2031.00', '11-3031.02', '11-3111.00', '13-1011.00', '13-2052.00', '41-3011.00', '41-3021.00', '41-3099.01', '41-4011.00', '41-4012.00', '41-9031.00', '43-4051.00', '43-5011.01']",fuzzy,96.55172413793103
account officer,"['21-1029.00', '21-1092.00', '33-3021.05', '33-3051.01']",fuzzy,100.0
account receivable accountant,['43-3011.00'],fuzzy,100.0
account service delivery manager,"['11-2011.00', '11-2031.00', '11-3031.02', '11-3111.00', '13-1011.00', '13-2052.00', '41-3011.00', '41-3021.00', '41-3099.01', '41-4011.00', '41-4012.00', '41-9031.00', '43-4051.00', '43-5011.01']",fuzzy,100.0
account technology strategist,"['11-2021.00', '13-2052.00', '15-1199.08', '15-1199.10', '19-3094.00', '55-1015.00']",fuzzy,100.0
accountant,"['13-2011.00', '13-2011.01', '43-3031.00']",exact,100.0
accountant site accounting reporting,"['13-2011.00', '13-2011.01', '43-3031.00']",fuzzy,100.0
accounting,"['13-2081.00', '43-3021.02', '43-3031.00', '43-3051.00']",exact,100.0
