soc_code,Task ID,importance_norm,importance,Task
11-1021.00,933,0.76,4.04,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products."
11-1021.00,944,0.705,3.82,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory."
11-1021.00,945,0.585,3.34,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions."
11-1021.00,948,0.57,3.28,Recommend locations for new facilities or oversee the remodeling or renovating of current facilities.
11-1021.00,947,0.56,3.24,"Direct non-merchandising departments of businesses, such as advertising or purchasing."
11-1021.00,949,0.49250000000000005,2.97,Plan store layouts or design displays.
11-2021.00,951,0.825,4.3,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors."
11-2021.00,952,0.7475,3.99,"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections."
11-2021.00,950,0.7175,3.87,"Develop pricing strategies, balancing firm objectives and customer satisfaction."
11-2021.00,957,0.675,3.7,Compile lists describing product or service offerings.
11-2021.00,954,0.665,3.66,"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities."
11-2021.00,956,0.6625,3.65,"Consult with product development personnel on product specifications such as design, color, or packaging."
11-2021.00,958,0.64,3.56,"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends."
11-2021.00,955,0.6325,3.53,"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies."
11-2021.00,961,0.6025,3.41,"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services."
11-2021.00,964,0.6025,3.41,Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.
11-2021.00,963,0.6,3.4,Initiate market research studies or analyze their findings.
11-2021.00,965,0.5425,3.17,Conduct economic or commercial surveys to identify potential markets for products or services.
11-2021.00,960,0.535,3.14,"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors."
11-2021.00,962,0.515,3.06,"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services."
11-2021.00,959,0.42500000000000004,2.7,Select products or accessories to be displayed at trade or special production shows.
11-2022.00,3,0.8049999999999999,4.22,"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate or other subjects of sale."
11-2022.00,1,0.7725,4.09,Resolve customer complaints regarding sales and service.
11-2022.00,13,0.7675000000000001,4.07,Confer with potential customers regarding equipment needs and advise customers on types of equipment to purchase.
11-2022.00,5,0.7375,3.95,Review operational records and reports to project sales and determine profitability.
11-2022.00,14,0.675,3.7,Oversee regional and local sales managers and their staffs.
11-2022.00,4,0.6525,3.61,Determine price schedules and discount rates.
11-2022.00,9,0.6475,3.59,Prepare budgets and approve budget expenditures.
11-2022.00,2,0.6425,3.57,Monitor customer preferences to determine focus of sales efforts.
11-2022.00,17,0.6375,3.55,"Assess marketing potential of new and existing store locations, considering statistics and expenditures."
11-2022.00,11,0.625,3.5,"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs."
11-2022.00,6,0.62,3.48,"Direct, coordinate, and review activities in sales and service accounting and record-keeping, and in receiving and shipping operations."
11-2022.00,12,0.61,3.44,Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.
11-2022.00,15,0.595,3.38,"Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions."
11-2022.00,8,0.565,3.26,Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.
11-2022.00,7,0.5625,3.25,Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.
11-2022.00,10,0.535,3.14,Represent company at trade association meetings to promote products.
11-2022.00,16,0.535,3.14,Direct foreign sales and service outlets of an organization.
11-3011.00,24,0.7649999999999999,4.06,"Plan, administer, and control budgets for contracts, equipment, and supplies."
11-3011.00,26,0.7375,3.95,Hire and terminate clerical and administrative personnel.
11-3011.00,19,0.73,3.92,"Direct or coordinate the supportive services department of a business, agency, or organization."
11-3011.00,18,0.7225,3.89,"Monitor the facility to ensure that it remains safe, secure, and well-maintained."
11-3011.00,25,0.68,3.72,"Oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental, health, and security standards, and comply with government regulations."
11-3011.00,21,0.6775,3.71,Prepare and review operational reports and schedules to ensure accuracy and efficiency.
11-3011.00,20,0.675,3.7,Set goals and deadlines for the department.
11-3011.00,27,0.675,3.7,"Oversee the maintenance and repair of machinery, equipment, and electrical and mechanical systems."
11-3011.00,23,0.595,3.38,"Acquire, distribute and store supplies."
11-3011.00,22,0.5825,3.33,"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records."
11-3011.00,28,0.5825,3.33,Manage leasing of facility space.
11-3011.00,29,0.5825,3.33,"Participate in architectural and engineering planning and design, including space and installation management."
11-3011.00,30,0.5475,3.19,Conduct classes to teach procedures to staff.
11-3011.00,31,0.43000000000000005,2.72,"Dispose of, or oversee the disposal of, surplus or unclaimed property."
11-3021.00,966,0.7975000000000001,4.19,"Manage backup, security and user help systems."
11-3021.00,968,0.7775000000000001,4.11,"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines."
11-3021.00,975,0.7749999999999999,4.1,"Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems."
11-3021.00,978,0.77,4.08,Review project plans to plan and coordinate project activity.
11-3021.00,969,0.76,4.04,"Assign and review the work of systems analysts, programmers, and other computer-related workers."
11-3021.00,971,0.735,3.94,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery."
11-3021.00,977,0.72,3.88,"Recruit, hire, train and supervise staff, or participate in staffing decisions."
11-3021.00,970,0.72,3.88,Stay abreast of advances in technology.
11-3021.00,967,0.7125,3.85,"Consult with users, management, vendors, and technicians to assess computing needs and system requirements."
11-3021.00,976,0.675,3.7,"Develop and interpret organizational goals, policies, and procedures."
11-3021.00,973,0.675,3.7,"Evaluate the organization's technology use and needs and recommend improvements, such as hardware and software upgrades."
11-3021.00,972,0.67,3.68,Review and approve all systems charts and programs prior to their implementation.
11-3021.00,980,0.6575,3.63,Prepare and review operational reports or project progress reports.
11-3021.00,979,0.6475,3.59,Evaluate data processing proposals to assess project feasibility and requirements.
11-3021.00,974,0.6325,3.53,Control operational budget and expenditures.
11-3021.00,981,0.5975,3.39,Purchase necessary equipment.
11-3051.00,34,0.81,4.24,"Review processing schedules or production orders to make decisions concerning inventory requirements, staffing requirements, work procedures, or duty assignments, considering budgetary limitations and time constraints."
11-3051.00,32,0.8049999999999999,4.22,"Direct or coordinate production, processing, distribution, or marketing activities of industrial organizations."
11-3051.00,40,0.8049999999999999,4.22,"Develop or implement production tracking or quality control systems, analyzing production, quality control, maintenance, or other operational reports to detect production problems."
11-3051.00,35,0.7925,4.17,Review operations and confer with technical or administrative staff to resolve production or processing problems.
11-3051.00,36,0.75,4.0,"Hire, train, evaluate, or discharge staff or resolve personnel grievances."
11-3051.00,38,0.7475,3.99,Prepare and maintain production reports or personnel records.
11-3051.00,39,0.7425,3.97,"Set and monitor product standards, examining samples of raw products or directing testing during processing, to ensure finished products are of prescribed quality."
11-3051.00,33,0.7375,3.95,"Develop budgets or approve expenditures for supplies, materials, or human resources, ensuring that materials, labor, or equipment are used efficiently to meet production targets."
11-3051.00,37,0.7,3.8,Initiate or coordinate inventory or cost control programs.
11-3051.00,43,0.68,3.72,"Coordinate or recommend procedures for facility or equipment maintenance or modification, including the replacement of machines."
11-3051.00,41,0.6425,3.57,Review plans and confer with research or support staff to develop new products or processes.
11-3051.00,42,0.625,3.5,Institute employee suggestion or involvement programs.
11-3051.00,44,0.615,3.46,"Maintain current knowledge of the quality control field, relying on current literature pertaining to materials use, technological advances, or statistical studies."
11-3051.00,45,0.615,3.46,Negotiate materials prices with suppliers.
11-3061.00,1030,0.8674999999999999,4.47,Represent companies in negotiating contracts and formulating policies with suppliers.
11-3061.00,1027,0.81,4.24,"Develop and implement purchasing and contract management instructions, policies, and procedures."
11-3061.00,1033,0.7975000000000001,4.19,Prepare bid awards requiring board approval.
11-3061.00,1032,0.7849999999999999,4.14,"Direct and coordinate activities of personnel engaged in buying, selling, and distributing materials, equipment, machinery, and supplies."
11-3061.00,1021,0.7749999999999999,4.1,"Locate vendors of materials, equipment or supplies, and interview them to determine product availability and terms of sales."
11-3061.00,1024,0.7625,4.05,"Interview and hire staff, and oversee staff training."
11-3061.00,1022,0.75,4.0,Prepare and process requisitions and purchase orders for supplies and equipment.
11-3061.00,1031,0.7375,3.95,"Review, evaluate, and approve specifications for issuing and awarding bids."
11-3061.00,1023,0.7,3.8,Control purchasing department budgets.
11-3061.00,1025,0.7,3.8,Review purchase order claims and contracts for conformance to company policy.
11-3061.00,1029,0.6975,3.79,"Resolve vendor or contractor grievances, and claims against suppliers."
11-3061.00,1035,0.6975,3.79,Administer online purchasing systems.
11-3061.00,1020,0.69,3.76,Maintain records of goods ordered and received.
11-3061.00,1026,0.64,3.56,Analyze market and delivery systems to assess present and future material availability.
11-3061.00,1028,0.6175,3.47,"Participate in the development of specifications for equipment, products, or substitute materials."
11-3061.00,1034,0.6025,3.41,Prepare reports regarding market conditions and merchandise costs.
11-3061.00,1036,0.46499999999999997,2.86,Arrange for disposal of surplus materials.
11-3071.01,1038,0.8225,4.29,"Plan, organize, or manage the work of subordinate staff to ensure that the work is accomplished in a manner consistent with organizational requirements."
11-3071.01,1037,0.815,4.26,"Direct activities related to dispatching, routing, or tracking transportation vehicles, such as aircraft or railroad cars."
11-3071.01,1040,0.76,4.04,Serve as contact persons for all workers within assigned territories.
11-3071.01,1046,0.74,3.96,Monitor spending to ensure that expenses are consistent with approved budgets.
11-3071.01,1044,0.71,3.84,"Promote safe work activities by conducting safety audits, attending company safety meetings, or meeting with individual staff members."
11-3071.01,1055,0.7075,3.83,"Prepare management recommendations, such as proposed fee and tariff increases or schedule changes."
11-3071.01,1039,0.705,3.82,Direct investigations to verify and resolve customer or shipper complaints.
11-3071.01,1050,0.685,3.74,"Analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services."
