"user_id","school","startdate","enddate","degree_raw","field_raw"
80200835,"University of Tennessee-Knoxville","1990-01-01","1995-01-31",,
554516311,"Texas McCombs School of Business","2022-01-01","2022-01-01","Post Graduate Degree - Data Science and Business Analytics",
515451089,"Campbell University","1992-01-01","1995-01-01",,
256939147,"University of Illinois at Urbana-Champaign","2006-01-01","2012-01-01","Ph.D.","Chemistry"
8904119,"Pontificia Universidad Javeriana","2000-01-01","2005-01-01","Bachelor's degree",
380268833,"Pui Shing Catholic Secondary School, Hong Kong","1997-01-01","2002-01-01","High School","Secondary School Courses"
995451723,"University of Information Technology","2014-01-01","2019-01-31","Bachelor's degree","Computer Science"
684165615,"University of Minnesota-Twin Cities",,,"Bachelor of Science (BS)","Business Administration and Management, General"
170452190,"Lycée IHSSANE","2015-01-01","2015-01-01","Baccalauréat","Mention Très Bien"
498293119,"Lancaster Bible College | Capital Seminary & Graduate School","2012-01-01","2016-01-01","Bachelor of Arts - BA","Spiritual Formation & Discipleship"
538003039,"colégio prof Datro santos",,,,
34816611,"St. Petersburg College","2017-01-01","2019-01-31","Associate of Arts - AA",
554516311,"Texas McCombs School of Business",,,"Postgraduate Degree","Artificial Intelligence and Machine Learning"
234298409,"Bangalore University","1998-01-01","2002-01-01","Bachelor's degree","Electrical and Electronics Engineering"
448897978,"Kimberly High School","2011-01-01","2015-01-01",,
660372590,"Università degli Studi di Milano-Bicocca","2011-01-01","2014-01-01","Laurea triennale","Biotecnologie"
147751294,"Technical University of Denmark","2010-01-01","2014-01-01","Bachelor of Science (BSc)","Software Technology"
684165615,"Dunwoody College of Technology",,,,
279210188,"Warren County Community College",,,,
927173548,"Delphian School","2013-01-01","2019-01-31","High School Diploma","3.94"
251221372,"Cornell University","2019-01-01","2020-01-01","Visitor professor","Department of Population Medicine and Diagnostic Sciences"
68571934,"Arizona State University","2002-01-01","2005-01-31","Doctor of Philosophy (Ph.D.)","Geography"
375560449,"Comanche County Memorial Hospital School of Medical Technology","2011-01-01","2012-01-31","Medical Technology",
808794762,"Cultura Inglesa","2017-01-01","2019-01-31","Língua Inglesa",
833266064,"Lycee Professionnel Agricole Félix Gaillard","2012-01-01","2015-01-01","Bac Pro services aux personnes et aux territoires",
75918335,"Hogeschool van Arnhem en Nijmegen","2018-01-01","2020-01-31","Propedeuse","Human resource management"
71284739,"Indian Institute of Management Bangalore","2018-01-01","2018-01-01","Diploma Customer Relation Management","CRM- Business, customer service"
294669790,"Florida School of the Arts","1982-01-01","1984-01-31","Associate of Arts (A.A.)","Musical Theatre"
272740614,"University of Colorado Boulder","2013-01-01","2017-01-31","Bachelor’s Degree","Fine and Studio Arts"
2018020746,"ISEG - Lisbon School of Economics & Management","2022-01-01","2025-01-01",,
329064916,"Upper Canada College","2006-01-01","2012-01-01","Ontario Secondary Schools Diploma, International Baccalaureate Diploma",
115237094,"Centennial College","2005-01-01","2007-01-01","Heavy Duty Equipment/Motive power technician",
231131065,"Cleveland Community College","2017-01-01","2019-01-01","Associate of Arts - AA","Biology, General"
412035012,"University of California, Irvine","2011-01-01","2016-01-01","Bachelor’s Degree","International Business, Biology Minor"
141013568,"Hogeschool Alkmaar","1994-01-01","1999-01-01","BAC","Business Economics"
793390785,"Séminaire de Sherbrooke","2013-01-01","2018-01-01","DES",
320814633,"CFA Institute",,,"CFA",
301214847,"UC Santa Barbara",,,"Bachelor's degree","Biology"
203905184,"Université Paris-Est Marne-la-Vallée","1995-01-01","1996-01-01","DEA","Computer Science"
657143034,"Wadsworth City High School","2002-01-01","2006-01-01",,
228642031,"University of Southampton","2007-01-01","2011-01-01",,
838043282,"The Hong Kong University of Science and Technology",,,"Python and Statistics for Financial Analysis",
283268215,"University of Fredericton","2002-01-01","2014-01-31","Bachelor of Pharmacy - BPharm","Pharmacy"
979702660,"Lycée Professionnel Arthur Rimbaud - Garges-lès-Gonesse","2000-01-01","2002-01-01","BEP Métiers de la comptabilité","Comptabilité"
140633953,"Delhi Public School Bhopal","2002-01-01","2014-01-31","Secondary","9.6 CGPA"
674067262,"Macalester College","2008-01-01","2012-01-01","Bachelor of Arts","Chemistry"
111488420,"Hochschule für Bankwirtschaft Frankfurt am Main","2003-01-01","2004-01-01","Master's degree","Banking and Financial Support Services"
570729675,"Maynooth University","2010-01-01","2014-01-01","Bachelor's Degree","Multimedia"
349801364,"DeVry University","2012-01-01","2013-01-31","Administration of Justice",
391896655,"Nassau Community College",,,"Associate's degree","Business Administration and Management, General"
131513189,"Ethnikon kai Kapodistriakon Panepistimion Athinon","1997-01-01","2003-01-01","Bachelor's degree","Informatics"
518831050,"Towson University","2007-01-01","2011-01-31","Bachelor of Science (BS)","English Language and Literature/Letters"
99122074,"Rutgers University - Newark",,,"Bachelor of Applied Science - BASc","Accounting"
644964847,"University of Johannesburg","2009-01-01","2013-01-01","Law",
305608063,"The University of Texas Rio Grande Valley","2016-01-01","2018-01-01","Master of Public Affairs- MPA","Public Administration"
532257235,"Medaille College","2008-01-01","2010-01-01","Master of Business Administration - MBA",
27257991,"Sacred heart girls' college","2001-01-01","2005-01-01","National certificate","high school in New Zealand"
