"user_id","skill_raw","skill_mapped","skill_k75"
571813982,"project management","project management","project management / project planning / construction"
212616767,"visual merchandising","visual merchandising","retail / merchandising / fashion"
147751294,"visual studio","visual studio","c# / .net / asp.net"
71284739,"vendor management","vendor management","process improvement / program management / cross-functional team leadership"
43876414,"inventory management","inventory management","operations management / inventory management / logistics"
493321187,"capital markets","capital markets","investment banking / equities / capital markets"
285497625,"matlab","matlab","c++ / c / matlab"
301214847,"powerpoint","powerpoint","microsoft office / microsoft excel / microsoft word"
51960251,"security","security","process improvement / program management / cross-functional team leadership"
172662222,"marketing strategy","marketing strategy","marketing / marketing strategy / customer relationship management (crm)"
303585242,"advertising","advertising","marketing / marketing strategy / customer relationship management (crm)"
298390934,"customer service","customer service","customer service / teamwork / time management"
82597976,"requirements analysis","requirements analysis","business analysis / integration / business process improvement"
139188649,"property management systems","property management systems","hospitality / food / hospitality management"
19144081,"business analysis","business analysis","business analysis / integration / business process improvement"
524788390,"lines of credit","lines of credit","risk management / banking / credit"
88209465,"process engineering","process engineering","manufacturing / continuous improvement / quality assurance"
178552566,"automation","automation","testing / automation / electrical engineering"
349020218,"customer service","customer service","customer service / teamwork / time management"
345382862,"renovation","renovation","project management / project planning / construction"
558726387,"specifications",,
27908795,"leadership","leadership","management / leadership / training"
845606854,"six sigma","six sigma","manufacturing / continuous improvement / quality assurance"
388907148,"recruiting","recruiting","recruiting / talent management / interviews"
198053333,"underwriting","underwriting","underwriting / general insurance / property"
522717716,"educational leadership","educational leadership","public speaking / research / higher education"
443420777,"financial analysis","financial analysis","financial analysis / finance / financial modeling"
564131023,"intellectual property","intellectual property","legal research / legal writing / corporate law"
493321187,"financial analysis","financial analysis","financial analysis / finance / financial modeling"
180937298,"video production","video production","video production / video editing / video"
403628581,"resource management","resource management","business analysis / integration / business process improvement"
200690902,"strategic planning","strategic planning","strategic planning / team leadership / negotiation"
395879383,"negotiation","negotiation","strategic planning / team leadership / negotiation"
423150182,"cross-functional team leadership","cross-functional team leadership","process improvement / program management / cross-functional team leadership"
29627016,"organizational effectiveness","organizational effectiveness","management / leadership / training"
523054584,"wordpress","wordpress","html / javascript / mysql"
446328177,"healthcare","healthcare","healthcare / hospitals / healthcare management"
254544923,"animal behavior","biology","chemistry / molecular biology / biochemistry"
81237813,"policy analysis","policy analysis","fundraising / nonprofits / community outreach"
597514689,"team leadership","team leadership","strategic planning / team leadership / negotiation"
649782453,"airport management","airport management","aerospace / aviation / aircraft"
744998383,"web services","web services","software development / agile methodologies / xml"
29627016,"organizational design","organizational design","management / leadership / training"
629781884,"product development","product development","strategic planning / team leadership / negotiation"
134428770,"english","english","english / french / german"
62611358,"customer service","customer service","customer service / teamwork / time management"
462732499,"strategic planning","strategic planning","strategic planning / team leadership / negotiation"
183739274,"customer service","customer service","customer service / teamwork / time management"
525362828,"time management","time management","customer service / teamwork / time management"
637781815,"management","management","management / leadership / training"
972115809,"marketing strategy","marketing strategy","marketing / marketing strategy / customer relationship management (crm)"
485083371,"remediation","remediation","environmental awareness / sustainability / geographic information systems (gis)"
